id_str,group,topic_tweet_count,topic_orig_tweet_count,statuses_count,favourites_count,classifier_score,followers_count,friends_count,friend_follow_ratio,days_since_create,condition,block
927494086625513473,21,9,4,112709,135434,0.768,150,72,0.483443708609271,1645,t,21_22
2893512400,21,3,0,141926,7757,0.332,136,132,0.970802919708029,2721,c,21_28
636123778,21,7,4,199704,206681,0.512,103,92,0.894230769230769,3585,t,21_9
982984872,22,3,1,31801,85100,0.528,1708.4,4976,2.04394250513347,3446,c,22_87
781359752,22,2,0,27360,107760,0.392,1708.4,4993,2.06193228736581,3544,c,22_87
549572614,22,3,0,174198.3,176539.75,0.326,1708.4,4999.45,2.08149688149688,3682,t,22_122
558260160,22,3,0,35920,18131,0.082,1708.4,4857,2.08766652342071,3672,t,22_6
925408498761940992,22,2,0,85740,107748,0.428,1708.4,4975,2.16159860990443,1651,c,22_87
1355259482,22,2,0,66094,89418,0.538,1708.4,4999.45,2.18384279475983,3311,t,22_87
759297870583439360,22,8,0,174198.3,176539.75,0.7347,1708.4,4992,2.21419068736142,2110,t,22_111
23292410,22,8,0,174198.3,176539.75,0.572,1708.4,4649,2.07311636201516,4751,t,22_111
864642578,22,2,0,74852,118298,0.482,1708.4,4988,2.26258503401361,3502,t,22_87
229010922,22,3,0,174198.3,176539.75,0.374,1708.4,4784,2.17006802721088,4158,t,22_122
585579910,22,3,0,148815,133032,0.436,1708.4,4978,2.28499311610831,3641,t,22_122
1505791153,22,2,0,174198.3,160468,0.584,1708.4,4925,2.27634011090573,3254,c,22_122
1033049696653254656,22,8,4,49938,5821,0.424,1708.4,4999.45,2.32992089343881,1354,t,22_5
911393149196603392,22,2,0,95124,78979,0.362,1708.4,4919,2.29050279329609,1690,c,22_93
882215654824136706,22,8,0,98044,9230,0.732,1708.4,4999.45,2.34348641049672,1770,t,22_0
172954545,22,5,0,174198.3,40157,0.364,1708.4,4999.45,2.36789772727273,4301,t,22_1
1014815646431903744,22,8,2,174198.3,176539.75,0.7347,1708.4,4786,2.26657196969697,1404,c,22_111
915404092507291648,22,3,1,55638,87346,0.7347,1708.4,4998,2.37031768610716,1679,t,22_81
803632522592555009,22,2,0,174198.3,176539.75,0.428,1708.4,4999.45,2.3967417345472,1987,c,22_122
790657468560990208,22,5,1,174198.3,176539.75,0.32,1708.4,4999.45,2.40548340548341,2023,t,22_53
3336915689,22,2,0,174198.3,111563,0.546,1708.4,4980,2.42384428223844,2515,t,22_93
631640810,22,6,0,145488,52905,0.388,1708.4,4980,2.43094192288921,3591,c,22_2
19703746,22,3,0,124296,168926,0.634,1708.4,4961,2.45522018802573,4751,t,22_87
1615139828,22,7,4,16050,32044,0.594,1708.4,4772,2.36991062562066,3212,t,22_5
1010891010384322561,22,3,0,174198.3,176539.75,0.35,1708.4,4987,2.50025062656642,1415,c,22_53
16362364,22,2,0,94965,151909,0.396,1708.4,4997,2.54480651731161,4751,t,22_3
858330200504844288,22,5,0,174198.3,164017,0.7347,1708.4,4999.45,2.58316115702479,1836,c,22_111
4867463860,22,2,0,96631,144961,0.606,1708.4,4990,2.64074074074074,2290,t,22_103
250843549,22,2,0,130295,64586,0.536,1708.4,3775,2.01709401709402,4105,t,22_81
222023216,22,4,0,145992,176539.75,0.598,1708.4,4646,2.55892070484582,4177,t,22_3
903178822169780224,22,2,0,37545,95335,0.434,1708.4,4999.45,2.77833333333333,1713,c,22_72
1264294789,22,2,0,174198.3,176539.75,0.316,1708.4,4999.45,2.80538418395962,3344,c,22_122
1105417668,22,8,2,41816,21789,0.7347,1708.4,4892,2.75972927241963,3397,c,22_0
21422783,22,2,0,174198.3,2873,0.452,1708.4,4999.45,2.83238958097395,4751,c,22_1
23891063,22,4,0,174198.3,48585,0.412,1708.4,3813,2.16458569807037,4751,c,22_1
1006547543000535040,22,5,0,174198.3,26868,0.276,1708.4,4984,2.84857142857143,1427,t,22_2
821957852,22,2,0,128375,120645,0.396,1708.4,3984,2.3048004626952,3525,c,22_3
245428213,22,3,0,28075,7362,0.09,1708.4,4080,2.37820512820513,4116,t,22_110
898021592566870016,22,6,0,27434,64674,0.7347,1703,3701,2.17253521126761,1727,c,22_0
312032550,22,2,2,109035,157878,0.354,1691,3418,2.02068557919622,3990,c,22_3
3232145240,22,2,1,115081,64575,0.7347,1683,3594,2.13479809976247,2535,c,22_81
1036059871731478529,22,5,0,8436,18211,0.452,1677,4999.45,2.98152562574493,1346,t,22_0
